Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
SeAg_B0344,gmhA,B5EWJ3,SeAg_B2617,tal1,B5F0K0,931,873,BioModels,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0344,gmhA,B5EWJ3,SeAg_B0007,tal2,B5F6Y2,931,3087,BioModels,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0350,pepD,B5EWJ9,SeAg_B2691,SeAg_B2691,B5F1B3,4070,2788,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0350,pepD,B5EWJ9,SeAg_B4763,pepA,B5F465,4070,2835,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0350,pepD,B5EWJ9,SeAg_B1469,SeAg_B1469,B5F591,4070,1010,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0350,pepD,B5EWJ9,SeAg_B3753,ggt,B5F9B3,4070,2060,BioModels,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0351,gpt,B5EWK0,SeAg_B3964,SeAg_B3964,B5EY16,762,3204,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0351,gpt,B5EWK0,SeAg_B2566,xapA,B5F0F0,762,1707,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0351,gpt,B5EWK0,SeAg_B4892,deoD,B5F527,762,234,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0351,gpt,B5EWK0,SeAg_B0058,SeAg_B0058,B5F731,762,643,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0351,gpt,B5EWK0,SeAg_B0202,hpt,B5F819,762,4146,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0357,proA,B5EWK6,SeAg_B0356,proB,B5EWK5,2044,1557,STM_BioModels,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0364,leuD,B5EWL1,SeAg_B0128,leuB,B5F7U8,2764,3616,BioModels,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0364,leuD,B5EWL1,SeAg_B0129,leuA,B5F7U9,2764,3577,BioModels,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0366,SeAg_B0366,B5EWL3,SeAg_B3681,gph,B5F8J6,4445,1323,BioModels,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0366,SeAg_B0366,B5EWL3,SeAg_B2056,SeAg_B2056,B5F974,4445,2605,BioModels,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0398,SeAg_B0398,B5EWP4,SeAg_B1409,SeAg_B1409,B5F4L3,2724,1820,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0398,SeAg_B0398,B5EWP4,SeAg_B3332,exbD,B5F646,2724,3311,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0398,SeAg_B0398,B5EWP4,SeAg_B3333,exbB,B5F647,2724,1712,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0402,prpB,B5EWP8,SeAg_B0181,acnB,B5F7Z8,919,4241,STM_BioModels,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0404,prpD,B5EWQ0,SeAg_B0403,prpC,B5EWP9,1198,3408,STM_BioModels,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0405,prpE,B5EWQ1,SeAg_B2180,ackA,B5EX23,2751,3142,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0405,prpE,B5EWQ1,SeAg_B3894,aldB,B5EX91,2751,3777,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0405,prpE,B5EWQ1,SeAg_B2478,ackA,B5EZM0,2751,417,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0405,prpE,B5EWQ1,SeAg_B1085,putP,B5F208,2751,604,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0405,prpE,B5EWQ1,SeAg_B4535,acsA,B5F2F1,2751,3305,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0405,prpE,B5EWQ1,SeAg_B3430,ackA,B5F6P9,2751,419,STM,Salmonella_enterica_serovar_Agona_SL483,Metabolic
SeAg_B0406,hemB,B5EWQ2,SeAg_B0239,hemL,B5F8R5,2875,934,STM_BioModels,Salmonella_enterica_serovar_Agona_SL483,Metabolic
