Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SC2706,iroD,H9L4U5,SC3877,fre,Q57HM9,1892,4029,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC2706,iroD,H9L4U5,SC2879,cysJ,Q57KH7,1892,548,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC2706,iroD,H9L4U5,SC2878,cysI,Q57KH8,1892,1899,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC2706,iroD,H9L4U5,SC0625,fepB,Q57RY0,1892,2779,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC2706,iroD,H9L4U5,SC0623,fepD,Q57RY2,1892,806,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC2706,iroD,H9L4U5,SC0622,fepG,Q57RY3,1892,2121,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC2706,iroD,H9L4U5,SC0617,fes,Q57RY8,1892,1318,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC2708,iroN,H9L4U9,SC3101,exbB,Q57JV5,2617,1712,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC2708,iroN,H9L4U9,SC3100,exbD,Q57JV6,2617,3311,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC2708,iroN,H9L4U9,SC1733,tonB,Q57NS2,2617,1820,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC2707,IroE,H9L4V3,SC0624,ybdA,Q57RY1,855,811,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC2300.1,SC2300.1,P0C0R6,SC2090,udg,Q57MR5,2125,2588,STM_BioModels,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC2300.1,SC2300.1,P0C0R6,SC0581,folD,Q57S24,2125,1396,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC4429,yjjX,Q57G27,SC4228,yjeQ,Q57GM8,889,2134,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC4427,slt,Q57G29,SC3053,mltC,Q57K03,590,1374,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC4427,slt,Q57G29,SC2928,mltA,Q57KC8,590,2603,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC4427,slt,Q57G29,SC2764,mltB,Q57KU2,590,3509,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC4427,slt,Q57G29,SC1792,emtA,Q57NL3,590,3591,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC4425,nadR,Q57G31,SC4047,nudC,Q57H59,3454,933,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC4425,nadR,Q57G31,SC2425,ligA,Q57LT1,3454,2114,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC4425,nadR,Q57G31,SC0756,pnuC,Q57RJ9,3454,1454,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC4423,serB,Q57G33,SC0931,serC,Q57R24,1850,427,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC4418,deoD,Q57G38,SC3866,udp,Q57HP0,234,2760,BioModels,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC4418,deoD,Q57G38,SC3054,nupG,Q57K02,234,884,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
SC4418,deoD,Q57G38,SC2419,xapB,Q57LT7,234,884,STM,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Metabolic
