Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SPA0092,pdxA,Q3V7K0,SPA0166,SPA0166,Q5PD93,310,1919,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA0092,pdxA,Q3V7K0,SPA0003,thrB,Q5PDM3,310,708,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA0092,pdxA,Q3V7K0,SPA1821,serC,Q5PGG4,310,427,STM_BioModels,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3933,menA,Q3V7K2,SPA3172,ispB,Q5PLC5,854,2699,STM_BioModels,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3933,menA,Q3V7K2,SPA0556,menB,Q5PN74,854,1576,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3556,pmgI,Q5PBZ2,SPA3116,garK,Q5PCC0,1653,774,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3556,pmgI,Q5PBZ2,SPA2824,SPA2824,Q5PEJ2,1653,774,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3556,pmgI,Q5PBZ2,SPA0461,pgtP,Q5PNF3,1653,2067,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3554,grxC,Q5PBZ4,SPA2789,cysC,Q5PEH3,1788,2794,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3554,grxC,Q5PBZ4,SPA1890,grxA,Q5PGP0,1788,3866,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3554,grxC,Q5PBZ4,SPA1686,grxB,Q5PGW6,1788,1200,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3554,grxC,Q5PBZ4,SPA1420,ydhD,Q5PH12,1788,1938,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3551,cysE,Q5PBZ7,SPA2264,SPA2264,Q5PFM5,2418,3432,BioModels,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3550,SPA3550,Q5PBZ8,SPA1799,ompF,Q5PGE9,1474,2449,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3549,SPA3549,Q5PBZ9,SPA3550,SPA3550,Q5PBZ8,3704,1474,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3566,waaK,Q5PC01,SPA3562,rfaD,Q5PC05,1141,4417,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3566,waaK,Q5PC01,SPA3569,waaJ,Q5PC18,1141,2606,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3565,waaL,Q5PC02,SPA0792,cld,Q5PDN8,368,89,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3565,waaL,Q5PC02,SPA1512,rfc,Q5PH95,368,1455,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3565,waaL,Q5PC02,SPA3759,wzzE,Q5PKK0,368,616,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3565,waaL,Q5PC02,SPA3768,rffT,Q5PKK8,368,3468,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3565,waaL,Q5PC02,SPA2145,fepE,Q5PMD6,368,4084,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3564,waaC,Q5PC03,SPA3562,rfaD,Q5PC05,4304,4417,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3564,waaC,Q5PC03,SPA0980,msbB,Q5PN07,4304,3090,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3563,waaF,Q5PC04,SPA3564,waaC,Q5PC03,225,4304,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3563,waaF,Q5PC04,SPA3562,rfaD,Q5PC05,225,4417,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3562,rfaD,Q5PC05,SPA3068,rfaE,Q5PC86,4417,1314,STM_BioModels,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3577,coaD,Q5PC10,SPA3582,dfp,Q5PC29,1987,3033,STM_BioModels,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3577,coaD,Q5PC10,SPA2320,yajB,Q5PFT4,1987,3118,BioModels,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3576,kdtA,Q5PC11,SPA1810,kdsB,Q5PGF5,1998,2396,STM_BioModels,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3575,waaQ,Q5PC12,SPA3562,rfaD,Q5PC05,779,4417,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3575,waaQ,Q5PC12,SPA3573,waaP,Q5PC14,779,3215,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3573,waaP,Q5PC14,SPA3563,waaF,Q5PC04,3215,225,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3571,waaB,Q5PC16,SPA3574,waaG,Q5PC13,252,2904,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3570,waaI,Q5PC17,SPA3571,waaB,Q5PC16,1966,252,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3569,waaJ,Q5PC18,SPA3570,waaI,Q5PC17,2606,1966,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3568,waaY,Q5PC19,SPA3575,waaQ,Q5PC12,2467,779,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3567,waaZ,Q5PC20,SPA3568,waaY,Q5PC19,1358,2467,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3567,waaZ,Q5PC20,SPA1810,kdsB,Q5PGF5,1358,2396,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3582,dfp,Q5PC29,SPA3978,coaA,Q5PK80,3033,337,STM_BioModels,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3598,yicE,Q5PC34,SPA2310,tsx,Q5PFS4,3204,1837,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3598,yicE,Q5PC34,SPA1799,ompF,Q5PGE9,3204,2449,STM,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3593,rpoZ,Q5PC39,SPA3281,rpoA,Q5PK10,2062,1508,BioModels,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3593,rpoZ,Q5PC39,SPA3991,rpoB,Q5PK93,2062,2611,BioModels,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
SPA3593,rpoZ,Q5PC39,SPA3149,pnp,Q5PL97,2062,4477,BioModels,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Metabolic
